review_text,star_rating,timestamp,clean_text,normalized_text,sentiment,aspects
"tas bagus, packing aman pake bubble wrap.",4,2026-06-20 20:14:08,tas bagus packing aman pake bubble wrap,tas bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Biasa aja, pengiriman standar.",3,2026-06-26 17:14:08,biasa aja pengiriman standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"Mantap, hp kualitasnya original juara.",5,2025-12-08 09:14:08,mantap hp kualitasnya original juara,mantap hp kualitasnya original juara,Positive,Product Quality
"Gpp lah, agak lama tapi tas masih utuh.",3,2025-11-26 23:14:08,gpp lah agak lama tapi tas masih utuh,tidak apa-apa lah agak lama tapi tas masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Biasa aja, pengirimannya standar.",3,2026-01-01 00:14:08,biasa aja pengirimannya standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"Mantap, skincare kualitasnya original juara.",5,2026-02-27 19:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
"Kurir lambat, hp hancur pas sampai ga pake bubble wrap.",2,2025-12-28 00:14:08,kurir lambat hp hancur pas sampai ga pake bubble wrap,kurir lambat hp hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
baju lumayan lah buat harga segini.,3,2025-12-16 07:14:08,baju lumayan lah buat harga segini,baju lumayan lah buat harga segini,Neutral,General
"tas bagus, packing aman pake bubble wrap.",5,2026-02-24 01:14:08,tas bagus packing aman pake bubble wrap,tas bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
jam tangan lumayan lah buat harga segini.,3,2026-07-28 09:14:08,jam tangan lumayan lah buat harga segini,jam tangan lumayan lah buat harga segini,Neutral,General
"Admin acuh, respon lambat, tas sptnya tiruan.",1,2026-01-29 07:14:08,admin acuh respon lambat tas sptnya tiruan,admin acuh respon lambat tas sptnya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, kurir juga ramah recommended seller.",4,2026-07-27 03:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, skincare kualitasnya original juara.",4,2026-01-28 11:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
"Pengirimannya lama bgt, abang kurir lambat, baju penyok.",1,2025-09-29 18:14:08,pengirimannya lama bgt abang kurir lambat baju penyok,pengiriman lama banget abang kurir lambat baju penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"baju bgs, packing aman pake bubble wrap.",4,2026-01-22 10:14:08,baju bgs packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Pengiriman cepat banget, hp original.",5,2026-02-12 08:14:08,pengiriman cepat banget hp original,pengiriman cepat banget hp original,Positive,"Shipping/Delivery,Product Quality"
sepatu lumayan lah buat harga segini.,3,2026-02-09 12:14:08,sepatu lumayan lah buat harga segini,sepatu lumayan lah buat harga segini,Neutral,General
"Pengirimannya lama banget, kurir lambat, hp penyok.",2,2025-11-30 07:14:08,pengirimannya lama banget kurir lambat hp penyok,pengiriman lama banget kurir lambat hp penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",5,2026-02-25 12:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Kurir lambat, jam tangan hancur pas sampai ga pake bubble wrap.",1,2025-10-04 08:14:08,kurir lambat jam tangan hancur pas sampai ga pake bubble wrap,kurir lambat jam tangan hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Kurir lambat, sepatu hancur pas sampai ga pake bubble wrap.",1,2026-02-25 02:14:08,kurir lambat sepatu hancur pas sampai ga pake bubble wrap,kurir lambat sepatu hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Biasa aja, pengirimannya standar.",3,2025-10-07 22:14:08,biasa aja pengirimannya standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",5,2025-09-20 23:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Mantap, baju kualitasnya original juara.",5,2026-01-01 17:14:08,mantap baju kualitasnya original juara,mantap baju kualitasnya original juara,Positive,Product Quality
"Kecewa, skincare cacat tdk sesuai gambar.",1,2026-05-02 02:14:08,kecewa skincare cacat tdk sesuai gambar,kecewa skincare cacat tidak sesuai gambar,Negative,Product Quality
"Mantap, hp kualitasnya original juara.",5,2026-09-18 11:14:08,mantap hp kualitasnya original juara,mantap hp kualitasnya original juara,Positive,Product Quality
"Mantap, tas kualitasnya original juara.",5,2026-07-28 12:14:08,mantap tas kualitasnya original juara,mantap tas kualitasnya original juara,Positive,Product Quality
"Kecewa, skincare cacat tdk sesuai gambar.",1,2025-11-27 02:14:08,kecewa skincare cacat tdk sesuai gambar,kecewa skincare cacat tidak sesuai gambar,Negative,Product Quality
"Pengiriman cepat bgt, hp original.",5,2025-12-03 22:14:08,pengiriman cepat bgt hp original,pengiriman cepat banget hp original,Positive,"Shipping/Delivery,Product Quality"
"Mantap, hp kualitasnya original juara.",5,2026-02-28 04:14:08,mantap hp kualitasnya original juara,mantap hp kualitasnya original juara,Positive,Product Quality
"Kurir lambat, skincare hancur pas sampai ga pake bubble wrap.",2,2026-01-12 00:14:08,kurir lambat skincare hancur pas sampai ga pake bubble wrap,kurir lambat skincare hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-08-08 05:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"hp bgs, packing aman pake bubble wrap.",4,2026-04-26 10:14:08,hp bgs packing aman pake bubble wrap,hp bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Mantap, tas kualitasnya original juara.",4,2026-08-12 23:14:08,mantap tas kualitasnya original juara,mantap tas kualitasnya original juara,Positive,Product Quality
"Pengirimannya lama bgt, abang kurir lambat, skincare penyok.",2,2025-10-08 17:14:08,pengirimannya lama bgt abang kurir lambat skincare penyok,pengiriman lama banget abang kurir lambat skincare penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Bagus bgt, kurir juga ramah recommended seller.",4,2026-03-19 13:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, kurir juga ramah recommended seller.",4,2026-01-27 14:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Kurir lambat, baju hancur pas sampai ga pake bubble wrap.",1,2026-08-30 13:14:08,kurir lambat baju hancur pas sampai ga pake bubble wrap,kurir lambat baju hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-03-14 02:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, tas kualitasnya original juara.",4,2026-04-22 11:14:08,mantap tas kualitasnya original juara,mantap tas kualitasnya original juara,Positive,Product Quality
"tas bagus, packing aman pake bubble wrap.",5,2025-10-24 15:14:08,tas bagus packing aman pake bubble wrap,tas bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"sepatu cacat, packing rusak dan bocor.",2,2026-08-06 12:14:08,sepatu cacat packing rusak dan bocor,sepatu cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Biasa aja, pengiriman standar.",3,2026-04-18 02:14:08,biasa aja pengiriman standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"Biasa aja, pengirimannya standar.",3,2026-09-18 23:14:08,biasa aja pengirimannya standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"skincare cacat, packing rusak dan bocor.",1,2026-01-18 22:14:08,skincare cacat packing rusak dan bocor,skincare cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Biasa aja, pengiriman standar.",3,2025-12-24 05:14:08,biasa aja pengiriman standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"Admin ramah responnya cepat, tas sesuai deskripsi.",5,2026-04-29 16:14:08,admin ramah responnya cepat tas sesuai deskripsi,admin ramah responnya cepat tas sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Pengirimannya lama banget, kurir lambat, tas penyok.",1,2026-08-09 11:14:08,pengirimannya lama banget kurir lambat tas penyok,pengiriman lama banget kurir lambat tas penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Mantap, jam tangan kualitasnya original juara.",4,2026-01-26 01:14:08,mantap jam tangan kualitasnya original juara,mantap jam tangan kualitasnya original juara,Positive,Product Quality
"Pengiriman cepat bgt, baju original.",5,2026-03-10 21:14:08,pengiriman cepat bgt baju original,pengiriman cepat banget baju original,Positive,"Shipping/Delivery,Product Quality"
"Pengiriman cepat banget, sepatu original.",4,2025-12-30 13:14:08,pengiriman cepat banget sepatu original,pengiriman cepat banget sepatu original,Positive,"Shipping/Delivery,Product Quality"
"Mantap, jam tangan kualitasnya original juara.",5,2025-12-25 06:14:08,mantap jam tangan kualitasnya original juara,mantap jam tangan kualitasnya original juara,Positive,Product Quality
"Sesuai harga, jam tangan cukup oke, admin biasa aja.",3,2025-09-20 02:14:08,sesuai harga jam tangan cukup oke admin biasa aja,sesuai harga jam tangan cukup oke admin biasa aja,Neutral,Customer Service
"sepatu cacat, packing rusak dan bocor.",2,2026-07-01 08:14:08,sepatu cacat packing rusak dan bocor,sepatu cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-02-26 01:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, kurir juga ramah recommended seller.",5,2025-12-09 01:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
